State,District,"Subdistt
(Police Station)",Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,,
21,381,0,0,0,0,DISTRICT,Cuttack,Total,579170,2624470,1352760,1271710,271816,142037,129779,498633,254456,244177,93745,47437,46308,2011469,1103033,908436,613001,249727,363274,936365,761876,174489,696274,615670,80604,119181,114861,4320,132637,117492,15145,36649,30518,6131,407807,352799,55008,240091,146206,93885,19517,12937,6580,115661,70195,45466,15160,7387,7773,89753,55687,34066,195802,123038,72764,15947,10891,5056,92375,58383,33992,12323,6210,6113,75157,47554,27603,44289,23168,21121,3570,2046,1524,23286,11812,11474,2837,1177,1660,14596,8133,6463,1688105,590884,1097221,,,
21,381,0,0,0,0,DISTRICT,Cuttack,Rural,429454,1888423,970885,917538,201598,105054,96544,406771,207678,199093,81658,41229,40429,1407978,780022,627956,480445,190863,289582,683899,553818,130081,478649,429679,48970,116303,112330,3973,129162,114578,14584,24115,19797,4318,209069,182974,26095,205250,124139,81111,18330,12328,6002,113881,68906,44975,12292,5762,6530,60747,37143,23604,163823,102931,60892,14784,10300,4484,90765,57214,33551,9894,4814,5080,48380,30603,17777,41427,21208,20219,3546,2028,1518,23116,11692,11424,2398,948,1450,12367,6540,5827,1204524,417067,787457,,,
21,381,0,0,0,0,DISTRICT,Cuttack,Urban,149716,736047,381875,354172,70218,36983,33235,91862,46778,45084,12087,6208,5879,603491,323011,280480,132556,58864,73692,252466,208058,44408,217625,185991,31634,2878,2531,347,3475,2914,561,12534,10721,1813,198738,169825,28913,34841,22067,12774,1187,609,578,1780,1289,491,2868,1625,1243,29006,18544,10462,31979,20107,11872,1163,591,572,1610,1169,441,2429,1396,1033,26777,16951,9826,2862,1960,902,24,18,6,170,120,50,439,229,210,2229,1593,636,483581,173817,309764,,,
21,381,2944,0,0,0,SUB-DISTRICT,Narasinghpur  P.S,Total,22487,97624,51055,46569,11219,6014,5205,22922,11914,11008,6053,3074,2979,69493,39527,29966,28131,11528,16603,38596,29273,9323,27299,24417,2882,5760,5302,458,11008,9657,1351,771,598,173,9760,8860,900,11297,4856,6441,1003,591,412,8360,3065,5295,623,231,392,1311,969,342,8550,4329,4221,921,546,375,5982,2728,3254,533,204,329,1114,851,263,2747,527,2220,82,45,37,2378,337,2041,90,27,63,197,118,79,59028,21782,37246,,,
21,381,2944,0,0,0,SUB-DISTRICT,Narasinghpur  P.S,Rural,22487,97624,51055,46569,11219,6014,5205,22922,11914,11008,6053,3074,2979,69493,39527,29966,28131,11528,16603,38596,29273,9323,27299,24417,2882,5760,5302,458,11008,9657,1351,771,598,173,9760,8860,900,11297,4856,6441,1003,591,412,8360,3065,5295,623,231,392,1311,969,342,8550,4329,4221,921,546,375,5982,2728,3254,533,204,329,1114,851,263,2747,527,2220,82,45,37,2378,337,2041,90,27,63,197,118,79,59028,21782,37246,,,
21,381,2944,0,0,0,SUB-DISTRICT,Narasinghpur  P.S,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
21,381,2944,398433,0,0,VILLAGE,Kaintara,Rural,71,278,136,142,32,15,17,0,0,0,273,134,139,225,119,106,53,17,36,166,84,82,163,81,82,64,64,0,93,13,80,0,0,0,6,4,2,3,3,0,0,0,0,1,1,0,0,0,0,2,2,0,3,3,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,52,60,,Found,At row ...19193
21,381,2944,398434,0,0,VILLAGE,Nuagaon,Rural,86,325,169,156,33,17,16,0,0,0,107,59,48,252,141,111,73,28,45,229,118,111,226,117,109,90,89,1,136,28,108,0,0,0,0,0,0,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,51,45,,Found,At row ...19194
21,381,2944,398435,0,0,VILLAGE,Paikaregeda,Rural,107,512,265,247,70,39,31,88,47,41,126,62,64,259,156,103,253,109,144,309,169,140,307,168,139,122,68,54,179,95,84,0,0,0,6,5,1,2,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,203,96,107,,Found,At row ...19195
21,381,2944,398436,0,0,VILLAGE,Satyajaypur,Rural,123,491,254,237,70,35,35,0,0,0,133,72,61,267,147,120,224,107,117,272,141,131,81,79,2,65,65,0,13,13,0,0,0,0,3,1,2,191,62,129,0,0,0,191,62,129,0,0,0,0,0,0,105,40,65,0,0,0,105,40,65,0,0,0,0,0,0,86,22,64,0,0,0,86,22,64,0,0,0,0,0,0,219,113,106,,Found,At row ...19196
21,381,2944,398437,0,0,VILLAGE,Dhanurjayapur,Rural,136,529,261,268,67,33,34,15,9,6,130,64,66,422,218,204,107,43,64,154,137,17,154,137,17,61,60,1,87,71,16,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,124,251,,Found,At row ...19197
21,381,2944,398439,0,0,VILLAGE,Kunjabanapur,Rural,71,254,123,131,29,15,14,10,6,4,0,0,0,200,105,95,54,18,36,103,70,33,77,68,9,27,27,0,46,39,7,0,0,0,4,2,2,26,2,24,1,0,1,25,2,23,0,0,0,0,0,0,26,2,24,1,0,1,25,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,53,98,,Found,At row ...19199
21,381,2944,398440,0,0,VILLAGE,Regeda,Rural,419,1858,945,913,184,107,77,107,54,53,13,7,6,1377,776,601,481,169,312,897,573,324,644,499,145,417,290,127,78,73,5,2,2,0,147,134,13,253,74,179,231,69,162,20,4,16,2,1,1,0,0,0,236,72,164,219,67,152,15,4,11,2,1,1,0,0,0,17,2,15,12,2,10,5,0,5,0,0,0,0,0,0,961,372,589,,Found,At row ...19200
21,381,2944,398441,0,0,VILLAGE,Panchama,Rural,224,1038,547,491,125,69,56,276,157,119,512,259,253,720,423,297,318,124,194,486,293,193,371,280,91,95,93,2,197,112,85,18,18,0,61,57,4,115,13,102,80,1,79,9,4,5,24,8,16,2,0,2,103,7,96,75,1,74,8,3,5,18,3,15,2,0,2,12,6,6,5,0,5,1,1,0,6,5,1,0,0,0,552,254,298,,Found,At row ...19201
21,381,2944,398442,0,0,VILLAGE,Kamaladiha,Rural,466,2216,1143,1073,261,136,125,722,372,350,154,65,89,1679,932,747,537,211,326,876,603,273,638,581,57,118,118,0,301,255,46,4,4,0,215,204,11,238,22,216,5,1,4,199,4,195,1,1,0,33,16,17,232,22,210,4,1,3,195,4,191,1,1,0,32,16,16,6,0,6,1,0,1,4,0,4,0,0,0,1,0,1,1340,540,800,,Found,At row ...19202
21,381,2944,398443,0,0,VILLAGE,Baliputa,Rural,75,314,166,148,37,19,18,266,141,125,22,13,9,180,116,64,134,50,84,81,78,3,79,78,1,2,2,0,1,1,0,0,0,0,76,75,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,233,88,145,,Found,At row ...19203
21,381,2944,398444,0,0,VILLAGE,Ranibhuin,Rural,118,502,256,246,62,25,37,209,108,101,242,122,120,278,179,99,224,77,147,211,147,64,152,147,5,54,54,0,16,16,0,0,0,0,82,77,5,59,0,59,0,0,0,38,0,38,21,0,21,0,0,0,36,0,36,0,0,0,19,0,19,17,0,17,0,0,0,23,0,23,0,0,0,19,0,19,4,0,4,0,0,0,291,109,182,,Found,At row ...19204
21,381,2944,398445,0,0,VILLAGE,Mandania,Rural,158,678,359,319,93,48,45,437,227,210,2,1,1,347,222,125,331,137,194,307,219,88,225,190,35,17,17,0,91,59,32,0,0,0,117,114,3,82,29,53,3,3,0,66,15,51,0,0,0,13,11,2,77,26,51,3,3,0,63,13,50,0,0,0,11,10,1,5,3,2,0,0,0,3,2,1,0,0,0,2,1,1,371,140,231,,Found,At row ...19205
21,381,2944,398446,0,0,VILLAGE,Talasahi,Rural,198,883,450,433,77,48,29,77,40,37,0,0,0,682,374,308,201,76,125,510,286,224,351,220,131,168,103,65,96,54,42,3,2,1,84,61,23,159,66,93,69,21,48,88,44,44,1,1,0,1,0,1,159,66,93,69,21,48,88,44,44,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,164,209,,Found,At row ...19206
21,381,2944,398447,0,0,VILLAGE,Mahigarh,Rural,201,801,403,398,110,62,48,192,93,99,32,14,18,640,326,314,161,77,84,244,231,13,244,231,13,7,7,0,211,204,7,2,2,0,24,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,172,385,,Found,At row ...19207
